3dsc_formula,Tc_exp (K),L_avg (AA),bulk_mod (GPa),density (g / cm^3),V_molar (cm^3 / mol),w_log (K),lambda,lambda4w_low (K),lambda3,mean_at_mass (g / mol),wtd_mean_at_mass (g / mol),range_at_mass (g / mol),wtd_range_at_mass (g / mol),std_at_mass (g / mol),wtd_std_at_mass (g / mol),mean_at_rad (AA),wtd_mean_at_rad (AA),range_at_rad (AA),wtd_range_at_rad (AA),std_at_rad (AA),wtd_std_at_rad (AA),mean_IP (eV),wtd_mean_IP (eV),range_IP (eV),wtd_range_IP (eV),std_IP (eV),wtd_std_IP (eV),mean_EA (eV),wtd_mean_EA (eV),range_EA (eV),wtd_range_EA (eV),std_EA (eV),wtd_std_EA (eV),mean_PE,wtd_mean_PE,range_PE,wtd_range_PE,std_PE,wtd_std_PE,mean_ThermalCond (W / m K),wtd_mean_ThermalCond (W / m K),range_ThermalCond (W / m K),wtd_range_ThermalCond (W / m K),std_ThermalCond (W / m K),wtd_std_ThermalCond (W / m K)
B6Y1,5.692857143,4.090,174.570,3.73000,41.22409,159.215,0.6454,27.625,0.269,49.8559,21.9631,78.0998,3.4385,39.0499,25.6510,1.3700,0.9914,1.0600,0.4486,0.5300,0.3481,7.2575,8.0007,2.0810,6.2244,1.0405,0.6835,0.2920,0.2813,0.0300,0.1936,0.0150,0.0099,1.6300,1.9229,0.8200,1.5743,0.4100,0.2693,22.0000,25.5714,10.0000,20.7143,5.0000,3.2844
Nb1S2,5.821818182,4.333,52.160,4.19000,37.48123,323.5205,0.3148,3.177,0.031,62.4827,52.3415,60.8474,9.5961,30.4237,26.1845,1.3450,1.2467,0.5900,0.1533,0.2950,0.2539,8.5595,9.1597,3.6010,4.6537,1.8005,1.5496,1.4850,1.6823,1.1840,1.0870,0.5920,0.5095,2.0900,2.2533,0.9800,1.1867,0.4900,0.4217,27.1025,18.1367,53.7950,17.8633,26.8975,23.1497
Ge1V3,6.68,4.740,183.770,7.03000,32.07034,100.2512,2.1113,1992.000,9.411,61.7858,56.3636,21.6885,20.0486,10.8443,8.5731,1.3650,1.4475,0.3300,0.8475,0.1650,0.1304,7.3230,7.0345,1.1540,3.0845,0.5770,0.4562,0.9375,0.7313,0.8250,0.0563,0.4125,0.3261,1.8200,1.7250,0.3800,0.7200,0.1900,0.1502,45.5000,38.2500,29.0000,8.2500,14.5000,11.4633
Sn1Ta3,6.6925,5.300,181.030,14.77000,44.79037,30.0796,2.7344,1681.590,20.445,149.8289,165.3884,62.2379,106.0334,31.1189,24.6017,1.5450,1.6225,0.3100,0.9275,0.1550,0.1225,7.6170,7.7535,0.5460,4.0815,0.2730,0.2158,0.7610,0.5415,0.8780,0.0585,0.4390,0.3471,1.7300,1.6150,0.4600,0.6350,0.2300,0.1818,62.0000,59.5000,10.0000,26.0000,5.0000,3.9528
Al1Ge1Sr1,6.7,4.460,50.170,4.07000,46.00283,9.6301,6.3461,15619.188,255.576,62.4105,62.4105,60.6385,20.2128,25.7887,25.7887,1.4533,1.4533,0.7500,0.2500,0.3512,0.3512,6.5270,6.5270,2.2050,0.7350,0.9781,0.9781,0.5970,0.5970,1.3500,0.4500,0.5621,0.5621,1.5233,1.5233,1.0600,0.3533,0.4371,0.4371,110.0000,110.0000,200.0000,66.6667,88.9757,88.9757
Ir1Mo3,8.031,5.000,282.730,12.73000,37.71170,24.6856,3.9685,6122.788,62.500,144.0835,120.0168,96.2670,23.9083,48.1335,38.0529,1.4750,1.5075,0.1300,0.8025,0.0650,0.0514,8.0960,7.5940,2.0080,3.0440,1.0040,0.7937,1.1555,0.9508,0.8190,0.1683,0.4095,0.3237,2.1800,2.1700,0.0400,1.0700,0.0200,0.0158,144.5000,141.7500,11.0000,66.7500,5.5000,4.3481
N1V1,8.528333333500000,2.700,337.970,6.31000,10.29295,638.4238,0.1014,0.067,0.001,32.4741,32.4741,36.9348,18.4674,18.4674,18.4674,1.1200,1.1200,0.8200,0.4100,0.4100,0.4100,10.6400,10.6400,7.7880,3.8940,3.8940,3.8940,0.2625,0.2625,0.5250,0.2625,0.2625,0.2625,2.3350,2.3350,1.4100,0.7050,0.7050,0.7050,15.5129,15.5129,30.9742,15.4871,15.4871,15.4871
C1Ta1,8.6375,4.470,326.730,14.37000,13.42790,200.3412,1.0124,210.464,1.038,96.4797,96.4797,168.9363,84.4681,84.4681,84.4681,1.2150,1.2150,0.9700,0.4850,0.4850,0.4850,9.5750,9.5750,3.3700,1.6850,1.6850,1.6850,0.7925,0.7925,0.9410,0.4705,0.4705,0.4705,2.0250,2.0250,1.0500,0.5250,0.5250,0.5250,98.5000,98.5000,83.0000,41.5000,41.5000,41.5000
Re3W1,8.733333333,5.243,359.0,20.00000,37.12305,9.5178,5.4038,8115.843,157.797,185.0235,185.6153,2.3670,93.6953,1.1835,0.9356,1.5650,1.5375,0.1100,0.7275,0.0550,0.0435,7.9300,7.9050,0.1000,3.9150,0.0500,0.0395,0.4825,0.3163,0.6650,0.0913,0.3325,0.2629,2.1300,2.0150,0.4600,0.8350,0.2300,0.1818,109.0000,78.5000,122.0000,6.5000,61.0000,48.2247
Hf1N1,8.83,4.510,277.670,13.92000,13.82881,281.4893,0.6162,40.583,0.234,96.2464,96.2464,164.4793,82.2396,82.2396,82.2396,1.2300,1.2300,1.0400,0.5200,0.5200,0.5200,10.6795,10.6795,7.7090,3.8545,3.8545,3.8545,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.1700,2.1700,1.7400,0.8700,0.8700,0.8700,11.5129,11.5129,22.9742,11.4871,11.4871,11.4871
